name,glon,glat,ra,dec,size_major,size_minor,size_flag,shape,shape_flag,flux,flux_flag,specindex,specindex_flag,othernames
G301.4-01.0,301.4,-1.0,189.47916666666666,-63.81666666666667,37.0,23.0,,S,,2.1,?,,?,[]
G302.3+00.7,302.3,0.7,191.47916666666666,-62.13333333333333,17.0,17.0,,S,,5.0,?,0.4,?,[]
G304.6+00.1,304.6,0.1,196.49583333333334,-62.7,8.0,8.0,,S,,14.0,,0.5,,['Kes 17']
G306.3-00.9,306.3,-0.9,200.45833333333334,-63.56666666666667,4.0,4.0,,S,?,0.16,?,0.5,?,[]
G308.1-00.7,308.1,-0.7,204.40416666666667,-63.06666666666667,13.0,13.0,,S,,1.2,?,,?,[]
G308.4-01.4,308.4,-1.4,205.375,-63.733333333333334,12.0,6.0,?,S,?,0.4,?,,?,[]
G308.8-00.1,308.8,-0.1,205.625,-62.38333333333333,30.0,20.0,?,C,?,15.0,?,0.4,?,[]
G309.2-00.6,309.2,-0.6,206.62916666666666,-62.9,15.0,12.0,,S,,7.0,?,0.4,?,[]
G309.8+00.0,309.8,0.0,207.625,-62.083333333333336,25.0,19.0,,S,,17.0,,0.5,,[]
G310.6-01.6,310.6,-1.6,210.1875,-63.43333333333333,2.5,2.5,,C,?,,?,,?,[]
G310.6-00.3,310.6,-0.3,209.5,-62.15,8.0,8.0,,S,,5.0,?,,?,['Kes 20B']
G310.8-00.4,310.8,-0.4,210.0,-62.28333333333333,12.0,12.0,,S,,6.0,?,,?,['Kes 20A']
G311.5-00.3,311.5,-0.3,211.40833333333333,-61.96666666666667,5.0,5.0,,S,,3.0,?,0.5,,[]
G312.4-00.4,312.4,-0.4,213.25,-61.733333333333334,38.0,38.0,,S,,45.0,,0.36,,[]
G312.5-03.0,312.5,-3.0,215.25,-64.2,20.0,18.0,,S,,3.5,?,,?,[]
G315.1+02.7,315.1,2.7,216.125,-57.833333333333336,190.0,150.0,,S,,,?,,?,[]
G315.4-02.3,315.4,-2.3,220.75,-62.5,42.0,42.0,,S,,49.0,,0.6,,"['RCW 86', ' MSH 14-63']"
G315.4-00.3,315.4,-0.3,218.97916666666666,-60.6,24.0,13.0,,,?,8.0,,0.4,,[]
G315.9-00.0,315.9,-0.0,219.60416666666666,-60.18333333333333,25.0,14.0,,S,,0.8,?,,?,[]
G316.3-00.0,316.3,-0.0,220.375,-60.0,29.0,14.0,,S,,20.0,?,0.4,,['(MSH 14-57)']
G317.3-00.2,317.3,-0.2,222.41666666666666,-59.766666666666666,11.0,11.0,,S,,4.7,?,,?,[]
G318.2+00.1,318.2,0.1,223.70833333333334,-59.06666666666667,40.0,35.0,,S,,3.9,>?,,?,[]
G318.9+00.4,318.9,0.4,224.625,-58.483333333333334,30.0,14.0,,C,,4.0,?,0.2,?,[]
G320.4-01.2,320.4,-1.2,228.625,-59.13333333333333,35.0,35.0,,C,,60.0,?,0.4,,"['MSH 15-52', ' RCW 89']"
