#
# SKA1-low configurations
#
# * Core: area 1000 m in diameter, within which the individual stations
#   are randomly located with no overlap
# * Central: area 1700 m in radius
# * Cluster: a group of 6 stations placed randomly around a cluster
#   location, only defined for stations outside the core area
# * Individual stations will be 35-45 m in diameter
# * Each station has 256 antenna elements randomly placed
# * Total 512 stations; total 131,072 antenna elements
# * 3 arms with each arm of the spiral will contain 16 clusters
# * WGS84 Positions of SKA1-low Stations
#
# Note:
# WGS84 is an Earth-centred, Earth-fixed terrestrial reference system
# and geodetic datum
#
# Reference:
# SKA-TEL-SKO-0000422, revision 02, 2016-05-31, Table 1
# http://astronomers.skatelescope.org/wp-content/uploads/2016/09/SKA-TEL-SKO-0000422_02_SKA1_LowConfigurationCoordinates-1.pdf
#
# Array center: 116.7644482 , -26.82472208
#
Label	Longitude	Latitude
C174	116.767146	-26.8269159
C175	116.7627073	-26.82148846
C176	116.7613301	-26.82291113
C177	116.7634317	-26.82799351
C178	116.7611987	-26.82487698
C179	116.7644733	-26.82135602
C180	116.7677047	-26.8235112
C181	116.7677574	-26.82414156
C182	116.7613807	-26.82344169
C183	116.766763	-26.82156738
C184	116.7623196	-26.82792623
C185	116.7618808	-26.82684172
C186	116.7611495	-26.82416534
C187	116.7678962	-26.82551428
C188	116.7682371	-26.82470261
C189	116.7680438	-26.8233971
C190	116.7685012	-26.8241408
C191	116.7648745	-26.82773344
C192	116.7614764	-26.82718221
C193	116.7637109	-26.82115804
C194	116.7622888	-26.82736392
C195	116.7665419	-26.8218194
C196	116.7670628	-26.82233543
C197	116.7645424	-26.82761733
C198	116.7682532	-26.82523962
C199	116.7610607	-26.82257748
C200	116.766963	-26.82528073
C201	116.7634067	-26.82842181
C202	116.7637098	-26.827613
C203	116.760337	-26.8246924
C204	116.7652939	-26.8283618
C205	116.7608787	-26.82458576
C206	116.7653751	-26.82768902
C207	116.7659601	-26.82093591
C208	116.7655451	-26.82080717
C209	116.7660134	-26.82141401
C210	116.765662	-26.8215957
C211	116.7656703	-26.82117011
C212	116.7663145	-26.82120899
C213	116.7600867	-26.82541986
C214	116.7607958	-26.82543758
C215	116.7602056	-26.82500971
C216	116.7600324	-26.8258537
C217	116.7597561	-26.8256036
C218	116.7605133	-26.82521484
C219	116.767651	-26.8278177
C220	116.7672891	-26.82765479
C221	116.7673298	-26.82721763
C222	116.766967	-26.82782358
C223	116.7675715	-26.82745917
C224	116.7668773	-26.82748782
E1-1	116.7627663	-26.82017705
E1-2	116.7624285	-26.81991547
E1-3	116.7627393	-26.81976351
E1-4	116.7621333	-26.81972558
E1-5	116.7629951	-26.81950173
E1-6	116.7624133	-26.81922925
E2-1	116.7575812	-26.82106002
E2-2	116.7571411	-26.82075518
E2-3	116.7582742	-26.82063137
E2-4	116.7576853	-26.82062054
E2-5	116.7572467	-26.82034479
E2-6	116.7579644	-26.82030267
E3-1	116.7530506	-26.82574525
E3-2	116.7534118	-26.8257181
E3-3	116.7525791	-26.82539971
E3-4	116.7533349	-26.82533874
E3-5	116.7529682	-26.82530981
E3-6	116.7530614	-26.82497726
E4-1	116.7520466	-26.83431587
E4-2	116.7524497	-26.83423445
E4-3	116.7524928	-26.83386187
E4-4	116.7528935	-26.8337915
E4-5	116.7519148	-26.83370172
E4-6	116.7522365	-26.83333486
N1-1	116.7601497	-26.82900989
N1-2	116.7606991	-26.82898023
N1-3	116.7610568	-26.82891341
N1-4	116.7604849	-26.8287265
N1-5	116.7608437	-26.82863455
N1-6	116.7602443	-26.82831962
N2-1	116.7642049	-26.8323567
N2-2	116.7634234	-26.8323525
N2-3	116.7637745	-26.83221191
N2-4	116.7634227	-26.83203244
N2-5	116.7641982	-26.83189926
N2-6	116.763739	-26.83178841
N3-1	116.771122	-26.83354856
N3-2	116.7707261	-26.83354453
N3-3	116.7702908	-26.83336839
N3-4	116.7708843	-26.83325587
N3-5	116.770381	-26.83298091
N3-6	116.7709195	-26.83279833
N4-1	116.7793212	-26.83009728
N4-2	116.7791814	-26.82979154
N4-3	116.7795292	-26.82971812
N4-4	116.7788501	-26.82946553
N4-5	116.7795128	-26.82936374
N4-6	116.7791201	-26.82908633
S1-1	116.7703631	-26.82615138
S1-2	116.7699892	-26.82591782
S1-3	116.7696118	-26.82585567
S1-4	116.7703549	-26.82583525
S1-5	116.7700985	-26.82545142
S1-6	116.7704838	-26.82537765
S2-1	116.772083	-26.82189476
S2-2	116.7714744	-26.82176823
S2-3	116.7718145	-26.82163965
S2-4	116.7712388	-26.82140139
S2-5	116.7721587	-26.82131996
S2-6	116.7718594	-26.82104472
S3-1	116.769971	-26.81601882
S3-2	116.7696285	-26.81562856
S3-3	116.7690852	-26.81555426
S3-4	116.7701158	-26.81550478
S3-5	116.7692767	-26.81523649
S3-6	116.7697275	-26.81514361
S4-1	116.7618649	-26.81117181
S4-2	116.7613392	-26.81110183
S4-3	116.7621652	-26.81092563
S4-4	116.7616863	-26.81074688
S4-5	116.7618862	-26.8104525
S4-6	116.7613224	-26.81043869
E5-1	116.7587488	-26.84394699
E5-2	116.7593113	-26.84366272
E5-3	116.758716	-26.84360499
E5-4	116.7582899	-26.84348559
E5-5	116.7590691	-26.84327509
E5-6	116.7587759	-26.84296827
E6-1	116.7717769	-26.84975404
E6-2	116.7721822	-26.84962038
E6-3	116.7717076	-26.8492535
E6-4	116.7723117	-26.84915399
E6-5	116.7713075	-26.84908174
E6-6	116.7720743	-26.8488616
E7-1	116.7906677	-26.84866896
E7-2	116.7910262	-26.84854895
E7-3	116.7903222	-26.84848215
E7-4	116.7913485	-26.84839303
E7-5	116.7906526	-26.84806248
E7-6	116.7910011	-26.84790263
E8-1	116.8116745	-26.8363453
E8-2	116.8121999	-26.83616165
E8-3	116.8112332	-26.8360942
E8-4	116.8120439	-26.83577632
E8-5	116.8116774	-26.83574934
E8-6	116.8111896	-26.83568571
E9-1	116.8261115	-26.81023238
E9-2	116.8264827	-26.80995352
E9-3	116.826081	-26.8097928
E9-4	116.8267997	-26.80959316
E9-5	116.826478	-26.80945514
E9-6	116.8260119	-26.80945385
S5-1	116.7491272	-26.81152597
S5-2	116.7490547	-26.81109842
S5-3	116.7496873	-26.81091406
S5-4	116.7486614	-26.81087983
S5-5	116.7492924	-26.81082273
S5-6	116.7488724	-26.8105963
S6-1	116.7369384	-26.81849759
S6-2	116.7374566	-26.81848799
S6-3	116.7372028	-26.81825846
S6-4	116.7376329	-26.81799621
S6-5	116.7367779	-26.81796736
S6-6	116.7372458	-26.8178076
S7-1	116.7286485	-26.83374709
S7-2	116.7281764	-26.83347982
S7-3	116.7290074	-26.83342162
S7-4	116.7286519	-26.8332142
S7-5	116.7288959	-26.8329414
S7-6	116.728237	-26.83288695
S8-1	116.7296735	-26.8560953
S8-2	116.7300576	-26.8560741
S8-3	116.7304059	-26.85574847
S8-4	116.7300923	-26.85559479
S8-5	116.7297105	-26.85548493
S8-6	116.7300099	-26.8551816
S9-1	116.7478812	-26.88073626
S9-2	116.7473977	-26.88057617
S9-3	116.7478699	-26.88033877
S9-4	116.7473076	-26.88021958
S9-5	116.7483166	-26.88001382
S9-6	116.7475354	-26.87992913
N5-1	116.7851002	-26.82014855
N5-2	116.7855278	-26.82006489
N5-3	116.7848767	-26.81983794
N5-4	116.7852767	-26.81970067
N5-5	116.785792	-26.81951644
N5-6	116.785225	-26.8193791
N6-1	116.7843351	-26.8070545
N6-2	116.784902	-26.80703233
N6-3	116.7845194	-26.80677593
N6-4	116.7841326	-26.80675068
N6-5	116.7849203	-26.80671248
N6-6	116.7845937	-26.80636045
N7-1	116.7739721	-26.79281135
N7-2	116.7735765	-26.792698
N7-3	116.7743154	-26.79269621
N7-4	116.7745857	-26.79247191
N7-5	116.7742106	-26.79234492
N7-6	116.7738522	-26.792231
N8-1	116.7515433	-26.78285983
N8-2	116.752285	-26.78263646
N8-3	116.7513539	-26.78258462
N8-4	116.7517881	-26.7824441
N8-5	116.7514499	-26.78225374
N8-6	116.7520839	-26.78213682
N9-1	116.7193487	-26.78450672
